path	tpath	twidth	theight	title	location	headline	description	creator	city	state	country	copyright	categories
assets/images/gallery/2018WJG0119_0014.jpg	assets/images/thumbnails/2018WJG0119_0014.jpg	300	200	Unrestored south elevation	Cloverfields	Cloverfields, Foreman Landing Road, Queen Anne's County, Maryland	Built by Philemon Hemsley in 1704-05. William Hemsley improved the property in 1727-28 shortlybefore he patented the land in 1730. Brick, hall/parlor palan, two stories, with rear stair tower. Bent principal rafter roof. Clapboard cockloft. Clapboard roof sheathing. Foliated H hinges in attic. Attic flooring tulip poplar. In the late 1760s made into a double-pile, center-passage plan house. Eleaborate new woodwork, including plaster paneling, wood raised paneling, rococo consoles on sides of mantel, carved fretwork in the Chinese style in mantels, large scale moldings.	Willie Graham	Queen Anne's County	Maryland	USA	Willie Graham 2018	brick,masonry,glazed header,decorative brick,triple stack chimney,chimney,back building
assets/images/gallery/2017wjg0404_0002.jpg	assets/images/thumbnails/2017wjg0404_0002.jpg	300	419	West wing, showing brick arch constructed as part of 1823 improv	Battersea	Battersea, Battersea Lane, Petersburg, Virginia	Built 1768 (dendro date) for Col. John Banister, first mayor of Petersburg and functioned as a villa. Five-part Palladian plan. Altered in the 1790s (rear porch rebuilt; front porch raised to two stories) and again in 1823 (by John Fitzhugh May). May rebuilt end porches, created a double parlor plan , replaced many of the mantels, redid the front fenestration to include Palladian windows. 1840s the house was stuccoed, front porch rebuilt. The greenhouse was built in 1823, 	Willie Graham	Petersburg	Virginia	USA	Willie Graham 2014	house,dwelling,villa,john banister,john fitzhugh may
assets/images/gallery/DSC_0805.jpg	assets/images/thumbnails/DSC_0805.jpg	300	451	Corn Cribs	Delsbo Farmstead Corn Cribs, Ska	Delsbogarden (Delsbo Farmstead) Corn Cribs, Skansen, Djurgårdsslätten 49-51, 115 21 Stockholm, Sweden	Representing a prosperous farmstead of about 1850.	Willie Graham	Stockholm		Sweden	Willie Graham 2022	farm,farmstead,mid 19th century,log,crib,corn
assets/images/gallery/DSC_0811.jpg	assets/images/thumbnails/DSC_0811.jpg	300	451	Porch on log house	Delsbo Farmstead, Skansen	Delsbogarden (Delsbo Farmstead), Skansen, Djurgårdsslätten 49-51, 115 21 Stockholm, Sweden	Representing a prosperous farmstead of about 1850.	Willie Graham	Stockholm		Sweden	Willie Graham 2022	farm,farmstead,mid 19th century,house,dwelling,paint,red,red brown,porch,log
assets/images/gallery/2022WJG0707_0501.jpg	assets/images/thumbnails/2022WJG0707_0501.jpg	300	200	Front facade	Darnell's Place Corn Crib	Darnell's Place Corn Crib, 17615 Whites Ferry Road, Montgomery County, Maryland	Complex of buildings likley constructed shortly after the Darnell family acquired the property in 1808. Most of the buildigs were constructed of Seneca sandstone and all have been heavily remodeled in the late 20th century. Buildings include a main house (the frame portion of which burned in 1952 and was rebuilt), a stone rear wing to that house, a combination dairy and smokehouse, a slave house, a mid 19th-century drive-through corn crib, a stone stable, and a 20th century frame dairy barn.	Willie Graham	Montgomery Co.	MD	USA	WILLIE GRAHAM 2022	sandstone,seneca sandstone,stone,corn crib,drive through,wagon,corn house,double crib
assets/images/gallery/2021WJG0810_0655.jpg	assets/images/thumbnails/2021WJG0810_0655.jpg	300	450	Board-and-batten door hung on hand-forged strap hinges	Edgehill Smokehouse	Edgehill Smokehouse, 4920 Griffith Road, Gaithersburg, Montgomery County, Maryland	Outbuildings date to ca. 1845-65	Willie Graham	Montgomery Co.	MD	USA	WILLIE GRAHAM 2021	smokehouse,log,outbuilding,door,board and batten,board and batten door,strap hinge,wrought iron,hand forge,hand forged strap hinge
assets/images/gallery/2022WJG1101_0022 b&w.jpg	assets/images/thumbnails/2022WJG1101_0022 b&w.jpg	299	449	Stair in entry largely as original constructed in 1768	Battersea	Battersea, Battersea Lane, Petersburg, Virginia	Built 1768 (dendro date) for Col. John Banister, first mayor of Petersburg and functioned as a villa. Five-part Palladian plan. Altered in the 1790s (rear porch rebuilt; front porch raised to two stories) and again in 1823 (by John Fitzhugh May). May rebuilt end porches, created a double parlor plan , replaced many of the mantels, redid the front fenestration to include Palladian windows. 1840s the house was stuccoed, front porch rebuilt. The greenhouse was built in 1823, 	Willie Graham	Petersburg	Virginia	USA	WILLIE GRAHAM 2022	house,dwelling,villa,palladian,john fitzhugh may,john banister,stair,entry,balustrade,chinese lattice,lattice,chinese chippendale,chippendale,pattern book,fret,bracket,stair bracket,carve,carving,bell flower
assets/images/gallery/2022WJG1101_0003 a b&w.jpg	assets/images/thumbnails/2022WJG1101_0003 a b&w.jpg	300	200	Main house	Battersea	Battersea, Battersea Lane, Petersburg, Virginia	Built 1768 (dendro date) for Col. John Banister, first mayor of Petersburg and functioned as a villa. Five-part Palladian plan. Altered in the 1790s (rear porch rebuilt; front porch raised to two stories) and again in 1823 (by John Fitzhugh May). May rebuilt end porches, created a double parlor plan , replaced many of the mantels, redid the front fenestration to include Palladian windows. 1840s the house was stuccoed, front porch rebuilt. The greenhouse was built in 1823, 	Willie Graham	Petersburg	Virginia	USA	WILLIE GRAHAM 2022	house,dwelling,villa,palladian,5 part house,porch,doric,cornice,stucco,pediment,john fitzhugh may,john banister
assets/images/gallery/2022WJG0707_0513 b&w.jpg	assets/images/thumbnails/2022WJG0707_0513 b&w.jpg	299	199	Wing to main house	Darnell's Place	Darnell's Place, 17615 Whites Ferry Road, Montgomery County, Maryland	Complex of buildings likley constructed shortly after the Darnell family acquired the property in 1808. Most of the buildigs were constructed of Seneca sandstone and all have been heavily remodeled in the late 20th century. Buildings include a main house (the frame portion of which burned in 1952 and was rebuilt), a stone rear wing to that house, a combination dairy and smokehouse, a slave house, a mid 19th-century drive-through corn crib, a stone stable, and a 20th century frame dairy barn.	Willie Graham	Montgomery Co.	MD	USA	WILLIE GRAHAM 2022	sandstone,seneca sandstone,stone
assets/images/gallery/2022WJG0708_0907 b&w.jpg	assets/images/thumbnails/2022WJG0708_0907 b&w.jpg	300	200	Mid 19th-century slave house	Brome Quarter	Brome Quarter, 18281 Rosecroft Road, Lexington Park, St. Marys County, Maryland	Mid 19th-century timber frame double slave quarter. Moved from its original location in the early 1980s and restored as a museum house.	Willie Graham	St. Marys County	MD	USA	WILLIE GRAHAM 2022	quarter,slave quarter,slave house,slavehouse,enslave,enslaved,timber frame,dwelling
